date,guest,extra
2/26/2004,Samuel L. Jackson,
3/1/2004,Edie Falco,
3/2/2004,Mark Ebner,
3/3/2004,Rudolph Giuliani,
3/4/2004,Willem Dafoe,
3/8/2004,Val Kilmer,
3/9/2004,Ed Gillespie,
3/10/2004,George Carlin,
3/11/2004,Paula Zahn,
3/15/2004,Sen. Charles Schumer,
3/16/2004,John Stossel,
3/17/2004,Mekhi Phifer,
3/18/2004,Ethan Hawke,
3/22/2004,Wynton Marsalis,
3/23/2004,Tom Hanks,
3/24/2004,Jamie Foxx,
3/25/2004,Al Franken,
3/29/2004,Jennifer Beals,
3/30/2004,Richard Clarke,
3/31/2004,Karen Hughes,
4/1/2004,Johnny Knoxville,
4/5/2004,Jerry Seinfeld,
4/6/2004,Matthew Perry,
4/7/2004,Tim Robbins,
4/8/2004,Jason Bateman,
4/19/2004,Melissa Etheridge,
4/20/2004,Mark Ruffalo,
4/21/2004,John Gibson,
4/22/2004,Arianna Huffington,
4/26/2004,Bob Kerrey,
4/27/2004,Rebecca Romijn-Stamos,
4/28/2004,Fareed Zakaria,
4/29/2004,Bob Woodward,
5/3/2004,Janeane Garofalo,
5/4/2004,Amb. Joe Wilson,
5/5/2004,Kareem Abdul-Jabbar,
5/6/2004,Andy Richter,
5/10/2004,Sen. John McCain,
5/11/2004,Tim Russert,
5/12/2004,Ken Mehlman,
5/13/2004,Bill Kristol,
6/1/2004,David Cross,
6/2/2004,Thomas Friedman,
6/3/2004,Mario Cuomo,
6/7/2004,Donna Brazile,
6/8/2004,David Brooks,
6/9/2004,Morgan Spurlock,
6/10/2004,Jennifer Love Hewitt,
6/14/2004,Stanley Tucci,
6/15/2004,Hassan Ibrahim,
6/16/2004,Robert Reich,
6/17/2004,Graham Norton,
6/21/2004,Stephen F. Hayes,
6/22/2004,Ashley Judd,
6/23/2004,Kevin Kline,
6/24/2004,Michael Moore,
6/28/2004,Terry McAuliffe,
6/29/2004,Edward Conlon,
6/30/2004,Calvin Trillin,
7/6/2004,Ralph Nader,
7/7/2004,Will Ferrell,
7/8/2004,Christina Applegate,
7/12/2004,Wolf Blitzer,
7/13/2004,Michael Isikoff,
7/14/2004,Sarah Vowell,
7/15/2004,Sacha Baron Cohen,
7/27/2004,Gov. Bill Richardson,
7/28/2004,Sen. Joe Biden,
7/29/2004,Coverage of the Democratic National Convention,
7/30/2004,Coverage of the Democratic National Convention,
8/2/2004,Henry Bonilla,
8/3/2004,Spike Lee,
8/4/2004,Aaron Eckhart,
8/5/2004,Natalie Portman,
8/9/2004,President Bill Clinton,
8/10/2004,Maureen Dowd,
8/11/2004,Tom Cruise,
8/12/2004,Bryan Keefer,
8/17/2004,Norm Coleman,
8/18/2004,Burt Reynolds,
8/19/2004,Seth Green,
8/23/2004,Robert Smith,
8/24/2004,John Kerry,
8/25/2004,Ed Gillespie,
8/30/2004,Indecision 2004: Midway to the Election Spectacular,
8/31/2004,Ted Koppel,
9/1/2004,Dan Bartlett,
9/2/2004,John McCain,
9/3/2004,Chris Matthews,
9/13/2004,Drew Barrymore,
9/14/2004,Pat Buchanan,
9/15/2004,Alec Baldwin,
9/16/2004,Gwyneth Paltrow,
9/21/2004,Richard Clarke,
9/22/2004,Marc Racicot,
9/23/2004,Matthew Broderick,
9/27/2004,Rosie Perez,
9/28/2004,Ralph Reed,
9/29/2004,Seymour Hersh,
9/30/2004,The Bush-Kerry Debate: The Squabble in Coral Gables,
10/4/2004,Bishop Desmond Tutu,
10/5/2004,Billy Bob Thornton,
10/6/2004,Bob Schieffer,
10/7/2004,Bill O'Reilly,
10/18/2004,Ed Koch,
10/19/2004,Marisa Tomei,
10/20/2004,Fareed Zakaria,
10/21/2004,Billy Crudup,
10/25/2004,Madeleine Albright,
10/26/2004,Bob Kerrey,
10/27/2004,Rev. Jesse Jackson,
10/28/2004,John Zogby,
11/1/2004,Chris Wallace,
11/2/2004,Indecision 2004: Prelude to a Recount,
11/3/2004,Charles Schumer,
11/4/2004,Bill Kristol,
11/9/2004,Richard Branson,
11/10/2004,Tom Wolfe,
11/11/2004,Kenneth Pollack,
11/15/2004,Sen. Kay Bailey Hutchison,
11/16/2004,Tom Brokaw,
11/17/2004,Thomas Frank,
11/18/2004,Woody Harrelson,
11/29/2004,Jude Law,
11/30/2004,Brian Williams,
12/1/2004,Christopher Hitchens,
12/2/2004,Stephen King,
12/6/2004,Isabella Rossellini,
12/7/2004,Paul O'Neill,
12/8/2004,Seth Mnookin,
12/9/2004,Kate Bosworth,
12/13/2004,Kevin Spacey,
12/14/2004,Dore Gold,
12/15/2004,Billy Connolly,
12/16/2004,Katie Couric,
1/4/2005,Paul Giamatti,
1/5/2005,Don Cheadle,
1/6/2005,Howard Zinn,
1/10/2005,John Grisham,
1/11/2005,Samuel Jackson,
1/12/2005,Dennis Quaid,
1/13/2005,Annette Benning,
1/17/2005,Brian Ross,
1/18/2005,Jim Wallis,
1/19/2005,Michael Beschloss,
1/20/2005,Joe Lieberman,
1/24/2005,Richard Viguerie,
1/25/2005,Seymour Hersh,
1/26/2005,John Leguizamo,
1/27/2005,Christine Todd Whitman,
1/31/2005,Fareed Zakaria,
2/1/2005,Paula Abdul,
2/2/2005,Anderson Cooper,
2/3/2005,Joe Klein,
2/14/2005,Redmond O'Hanlon,
2/15/2005,Eric Idle,
2/16/2005,Alan Cumming,
2/17/2005,Mark Mills,
2/22/2005,Rachel Weisz,
2/23/2005,Peter Jennings,
2/24/2005,Christina Ricci,
2/28/2005,Ben Nelson,
3/1/2005,Nancy Soderberg,
3/2/2005,Dwayne “The Rock” Johnson,
3/3/2005,Ari Fleischer,
3/7/2005,Melissa Boyle Mahle,
3/8/2005,Brian Williams,
3/9/2005,Bruce Willis,
3/10/2005,Paul Krugman,
3/14/2005,Harry Frankfurt,
3/15/2005,Tom Fenton,
3/16/2005,Rev. Al Green,
3/17/2005,Craig Ferguson,
3/21/2005,Sandra Bullock,
3/22/2005,Catherine Keener,
3/23/2005,Ozzy Osbourne,
3/24/2005,The RZA,
4/4/2005,Reggie Miller,
4/5/2005,Thomas Friedman,
4/6/2005,Matthew McConaughey,
4/7/2005,Drew Barrymore,
4/11/2005,Byron York,
4/12/2005,Senator Bob Dole,
4/13/2005,John P. Avlon,
4/14/2005,David Duchovny,
4/18/2005,Robert Reich,
4/19/2005,Sarah Vowell,
4/20/2005,Dennis Miller,
4/21/2005,Reza Aslan,
4/25/2005,Floyd Abrams,
4/26/2005,Ice Cube,
4/27/2005,Christina Hoff Sommers,
4/28/2005,Steve Levitt,
5/2/2005,Zell Miller,
5/3/2005,Christiane Amanpour,
5/4/2005,Martin Short,
5/5/2005,Tom Ridge,
5/9/2005,Kathleen Turner,
5/10/2005,Wanda Sykes,
5/11/2005,Al Roker,
5/12/2005,Tracey Ullman,
5/31/2005,Gerald Posner,
6/1/2005,Bo Bice,
6/2/2005,Russell Crowe,
6/6/2005,Newt Gingrich,
6/7/2005,Steven Johnson,
6/8/2005,Colin Powell,
6/9/2005,Matt Lauer,
6/13/2005,Larry Diamond,
6/14/2005,Will Ferrell,
6/15/2005,Flynt Leverett,
6/16/2005,Kenneth Timmerman,
6/20/2005,Ringo Starr,
6/21/2005,Dwight Yoakam,
6/22/2005,Bill Moyers,
6/23/2005,Howard Dean,
6/27/2005,Hanna Rosin,
6/28/2005,Morgan Spurlock,
7/11/2005,Marci Hamilton,
7/12/2005,Matt Taibbi,
7/13/2005,Bernard Goldberg,
7/14/2005,Michael Isikoff,
7/18/2005,Bob Woodward & Carl Bernstein,
7/19/2005,Billy Bob Thornton,
7/20/2005,"Robert F. Kennedy, Jr.",
7/21/2005,Fareed Zakaria,
7/25/2005,Senator Rick Santorum,
7/26/2005,Diane Lane,
7/27/2005,Bob Costas,
7/28/2005,Maggie Gyllenhaal,
8/2/2005,Senator Joe Biden,
8/3/2005,John Crawford,
8/4/2005,Miles O'Brien,
8/8/2005,Paul Rudd,
8/9/2005,Kate Hudson,
8/10/2005,John Hockenberry,
8/11/2005,Andre Benjamin,
8/15/2005,Steve Carell,
8/16/2005,Seymour Hersh,
8/17/2005,John Irving,
8/18/2005,John Richardson,
8/22/2005,Chris Wallace,
8/23/2005,Rachel Weisz,
8/24/2005,Sen. Trent Lott,
8/25/2005,Christopher Hitchens,
9/6/2005,Dr. Marc Siegel,
9/7/2005,Samuel L. Jackson,
9/8/2005,Brian Williams,
9/12/2005,Evolution Schmevolution: A Daily Show Special Report - Day 1,
9/13/2005,Evolution Schmevolution: A Daily Show Special Report - Day 2,
9/14/2005,Evolution Schmevolution: A Daily Show Special Report - Day 3,
9/15/2005,Evolution Schmevolution: A Daily Show Special Report - Day 4,
9/20/2005,Alan Alda,
9/21/2005,Ricky Gervais,
9/22/2005,George Clooney,
9/26/2005,Dr. Irwin Redlener,
9/27/2005,Viggo Mortensen,
9/28/2005,Jeff Garlin,
9/29/2005,Sen. Chuck Schumer,
10/3/2005,David Rakoff,
10/4/2005,Cameron Diaz,
10/5/2005,Senator John Edwards,
10/6/2005,Philip Seymour Hoffman,
10/17/2005,Dolly Parton,
10/18/2005,Bill O'Reilly,
10/19/2005,Louis Freeh,
10/20/2005,Dwayne “The Rock” Johnson,
10/24/2005,Bill Kristol,
10/25/2005,Al Franken,
10/26/2005,Doris Kearns Goodwin,
10/27/2005,Janis Karpinski,
10/31/2005,D.L. Hughley,
11/1/2005,Sen. Barbara Boxer,
11/2/2005,Mike Wallace,
11/3/2005,Robert Ray,
11/7/2005,Sen. Barack Obama,
11/8/2005,Sen. John McCain,
11/9/2005,Keira Knightley,
11/10/2005,Chris Elliott,
11/14/2005,Martha Stewart,
11/15/2005,Rosario Dawson,
11/16/2005,John Hodgman,
11/17/2005,Richard Clarke,
11/28/2005,Adrien Brody,
11/29/2005,Peggy Noonan,
11/30/2005,Nancy Pelosi,
12/1/2005,The White Stripes,
12/5/2005,President Jimmy Carter,
12/6/2005,Michelle Yeoh,
12/7/2005,David McCullough,
12/8/2005,Ken Auletta,
12/13/2005,Howard Stern,
12/14/2005,Tom Brokaw,
12/15/2005,Sarah Jessica Parker,
1/4/2006,George Packer,
1/5/2006,Pierce Brosnan,
1/9/2006,James Risen,
1/10/2006,Albert Brooks,
1/11/2006,Peter Bergen,
1/12/2006,Edward Lazarus,
1/16/2006,Eugene Jarecki,
1/17/2006,L. Paul Bremer,
1/18/2006,James Woolsey,
1/19/2006,Josh Lucas,
1/23/2006,Fred Barnes,
1/24/2006,Reza Aslan,
1/25/2006,Anthony Hopkins,
1/26/2006,Bernard-Henri Levy,
1/30/2006,Randy Jackson,
1/31/2006,Charles Barkley,
2/1/2006,Michael Beschloss,
2/2/2006,"Robert O'Harrow, Jr.",
2/7/2006,Torie Clarke,
2/8/2006,Harrison Ford,
2/9/2006,Will Arnett,
2/13/2006,Mike Mullane,
2/14/2006,Peter Tertzakian,
2/15/2006,Julianne Moore,
2/16/2006,Ed Harris,
2/21/2006,Sarah Vowell,
2/22/2006,Matthew Fox,
2/23/2006,Roger Ebert,
3/7/2006,Eugene Linden,
3/8/2006,Neil Young,
3/9/2006,Bruce Bartlett,
3/13/2006,Eric Burns,
3/14/2006,Bart Ehrman,
3/15/2006,Natalie Portman,
3/16/2006,Vin Diesel,
3/20/2006,Clive Owen,
3/21/2006,General Georges Sada,
3/22/2006,Senator Russ Feingold,
3/23/2006,Michael Mandelbaum,
3/27/2006,Michael Gordon,
3/28/2006,Fareed Zakaria,
3/29/2006,Queen Latifah,
3/30/2006,Sharon Stone,
4/3/2006,Ricky Gervais,
4/4/2006,Studs Terkel,
4/5/2006,Gen. Tony Zinni,
4/6/2006,Josh Hartnett,
4/17/2006,Jon Meacham,
4/18/2006,Ryan Nerz,
4/19/2006,Dennis Quaid,
4/20/2006,Sen. Ted Kennedy,
4/24/2006,Efraim Halevy,
4/25/2006,Tom Selleck,
4/26/2006,Kimberley Strassel,
4/27/2006,Robin Williams,
5/1/2006,Matthew Continetti,
5/2/2006,Madeleine Albright,
5/3/2006,Clark Kent Ervin,
5/4/2006,John Malkovich,
5/8/2006,David Remnick,
5/9/2006,Eric Shawn,
5/10/2006,Billy Connolly,
5/11/2006,Francis Fukuyama,
5/15/2006,Howard Dean,
5/16/2006,Denis Leary,
5/17/2006,Ramesh Ponnuru,
5/18/2006,Willie Nelson,
6/5/2006,Caroline Kennedy,
6/6/2006,Bill Bennett,
6/7/2006,Bonnie Hunt,
6/8/2006,Lily Tomlin,
6/12/2006,Thomas Friedman,
6/13/2006,Ken Mehlman,
6/14/2006,Tim Russert,
6/15/2006,Louis C.K.,
6/19/2006,Calvin Trillin,
6/20/2006,Juliet Eilperin,
6/21/2006,Anderson Cooper,
6/22/2006,Adam Sandler,
6/26/2006,Lance Armstrong,
6/27/2006,Helen Thomas,
6/28/2006,Al Gore,
6/29/2006,Kevin Spacey,
7/10/2006,Illario Pantano,
7/11/2006,John Dean,
7/12/2006,Shawn Wayans,
7/13/2006,Owen Wilson,
7/17/2006,Gordon Chang,
7/18/2006,M. Night Shyamalan,
7/19/2006,James Maguire,
7/20/2006,Paul Giamatti,
7/24/2006,Senator John McCain,
7/25/2006,Ed Burns,
7/26/2006,Sharon Weinberger,
7/27/2006,Dr. Alon Ben-Meir,
7/31/2006,Will Ferrell,
8/1/2006,Vali Nasr,
8/2/2006,Chris Paine,
8/3/2006,Danny DeVito,
8/8/2006,Brian Williams,
8/9/2006,Craig Glenday,
8/10/2006,Dale Earnhardt Jr.,
8/14/2006,Thomas E. Ricks,
8/15/2006,Samuel L. Jackson,
8/16/2006,Thomas Kean,
8/17/2006,Matt Dillon,
8/21/2006,Reza Aslan,
8/22/2006,William Cohen,
8/23/2006,Frederick Lane,
8/24/2006,Martin Short,
9/11/2006,Maggie Gyllenhaal,
9/12/2006,Gary Hart,
9/13/2006,Ed Gillespie,
9/14/2006,Norm MacDonald,
9/18/2006,Bill Clinton,
9/19/2006,Ben Affleck,
9/20/2006,Johnny Knoxville,
9/21/2006,CC Goldwater,
9/25/2006,Pat Buchanan,
9/26/2006,Pervez Musharraf,
9/27/2006,Al Franken,
9/28/2006,Jim McGreevey,
10/2/2006,Trent Lott,
10/3/2006,Dennis Miller,
10/4/2006,Ian Bremmer,
10/5/2006,David Rakoff,
10/9/2006,James Baker,
10/10/2006,David Cross,
10/11/2006,Lou Dobbs,
10/12/2006,David Mark,
10/16/2006,Frank Rich,
10/17/2006,Amy Sedaris,
10/18/2006,John Ashcroft,
10/19/2006,Kirsten Dunst,
10/30/2006,LeBron James,
10/31/2006,John Meuller,
11/1/2006,Midwest Midterm Midtacular,
11/2/2006,Sacha Baron Cohen,
11/6/2006,Jerry Seinfeld,
11/7/2006,Indesion 2006 Election Night,
11/8/2006,Howard Dean,
11/9/2006,Dustin Hoffman,
11/13/2006,Tina Fey,
11/14/2006,John Edwards,
11/15/2006,Ted Koppel,
11/16/2006,Muhammad Yumus,
11/27/2006,Rahm Emanuel,
11/28/2006,Tom Waits,
11/29/2006,George Clooney,
11/30/2006,Tenacious D,
12/4/2006,Nathan Lane,
12/5/2006,Sen. John Danforth,
12/6/2006,Eve Herold,
12/7/2006,Ed Viesturs,
12/11/2006,Sen. Lincoln Chafee,
12/12/2006,Fareed Zakaria,
12/13/2006,Ricky Gervais,
12/14/2006,Rajiv Chandraeskaran,
12/18/2006,Gov. Tom Vilsack,
12/19/2006,Bill Kristol,
12/20/2006,Ben Stiller,
1/8/2007,Louis C.K.,
1/9/2007,Harry Frankfurt,
1/10/2007,Gov. Mike Huckabee,
1/11/2007,Peter O'Toole,
1/15/2007,Josh Bernstein,
1/16/2007,Michael Oren,
1/17/2007,Jerry Rice,
1/18/2007,Robin Wright Penn,
1/22/2007,Gen. Rupert Smith,
1/23/2007,Terry McAuliffe,
1/24/2007,Scott McClellan,
1/25/2007,Sen. Charles Schumer,
1/29/2007,Bill Gates,
1/30/2007,Neil deGrasse Tyson,
1/31/2007,Sen. Joe Biden,
2/1/2007,Sienna Miller,
2/5/2007,Walter Scheib,
2/6/2007,Mike Rowe,
2/7/2007,Ralph Nader,
2/8/2007,John Mellencamp,
2/12/2007,Jeffrey Rosen,
2/13/2007,Christopher Horner,
2/14/2007,Ishmael Beah,
2/15/2007,Meredith Vieria,
2/26/2007,Craig Newmark,
2/27/2007,John Amaechi,
2/28/2007,Jake Gyllenhaal,
3/1/2007,Sam Sheridan,
3/5/2007,Bob Woodruff,
3/6/2007,Dr. Richard Jadick,
3/7/2007,Wynton Marsalis,
3/8/2007,Dr. Sharon Moalem,
3/12/2007,Senator Chris Dodd,
3/13/2007,John Waters,
3/14/2007,Zbigniew Brzezinski,
3/15/2007,Sandra Bullock,
3/19/2007,Stephen Prothero,
3/20/2007,John Bolton,
3/21/2007,Chris Hansen,
3/22/2007,Don Cheadle,
3/26/2007,Senator John Kerry,
3/27/2007,Dennis Miller,
3/28/2007,Bill Richardson,
3/29/2007,Philip Zimbardo,
4/9/2007,Bill Bradley,
4/10/2007,Walter Isaacson,
4/11/2007,Halle Berry,
4/12/2007,Richard Preston,
4/16/2007,Andrew Card,
4/17/2007,Sig Hansen,
4/18/2007,Ali Allawi,
4/19/2007,Jeremy Scahill,
4/23/2007,Matt Cooper,
4/24/2007,Senator John McCain,
4/25/2007,Garry Shandling,
4/26/2007,Richard Gere,
4/30/2007,Christopher Hitchens,
5/1/2007,Tobey Maguire,
5/2/2007,Pierre Rehov,
5/3/2007,Ted Koppel,
5/7/2007,Lee Gutkind,
5/8/2007,George Tenet,
5/9/2007,Michael Beschloss,
5/10/2007,Reza Aslan,
5/14/2007,Jeremy Paxman,
5/15/2007,Tim Russert,
5/16/2007,Don Rickles,
5/17/2007,Brink Lindsey,
5/21/2007,Zaki Chehab,
5/22/2007,Margaret Spellings,
5/23/2007,Lt. Col. Kevin Robbins,
5/24/2007,Al Gore,
6/4/2007,Rep. Ron Paul,
6/5/2007,Paul Rudd,
6/6/2007,Michael Barone,
6/7/2007,Eddie Izzard,
6/11/2007,David Steinberg,
6/12/2007,Bob Shrum,
6/13/2007,Allan Brandt,
6/14/2007,Angelina Jolie,
6/18/2007,Steve Carell,
6/19/2007,Brian Williams,
6/20/2007,Fareed Zakaria,
6/21/2007,Greg Bear,
6/25/2007,Steve Vogel,
6/26/2007,Bruce Willis,
6/27/2007,Michael Moore,
6/28/2007,Claire Danes,
7/16/2007,Josh Rushing,
7/17/2007,Christopher Walken,
7/18/2007,Matt Groening,
7/19/2007,Adam Sandler,
7/23/2007,Neil deGrasse Tyson,
7/24/2007,Robert Pallitto,
7/25/2007,Rob Gifford,
7/26/2007,Robert Dallek,
7/30/2007,Alastair Campbell,
7/31/2007,Lewis Gordon Pugh,
8/1/2007,Jed Babbin,
8/2/2007,Matt Damon,
8/7/2007,Andy Samberg,
8/8/2007,Sen. Joe Biden,
8/9/2007,Tal Ben-Shahar,
8/13/2007,Bill Kristol,
8/14/2007,Denis Leary,
8/15/2007,Stephen F. Hayes,
8/16/2007,Sen. John McCain,
8/20/2007,Nikolas Kozloff,
8/21/2007,Alan Weisman,
8/22/2007,Sen. Barack Obama,
8/23/2007,Lt. Col. John Nagl,
9/10/2007,Jeff Garlin,
9/11/2007,Jodie Foster,
9/12/2007,Robert Draper,
9/13/2007,Douglas Farah,
9/18/2007,Alan Greenspan,
9/19/2007,Gen. Wesley Clark,
9/20/2007,Bill Clinton,
9/24/2007,John Bowe,
9/25/2007,Evo Morales,
9/26/2007,Jamie Foxx,
9/27/2007,Ken Burns,
10/1/2007,Jack Cafferty,
10/2/2007,Chris Matthews,
10/3/2007,Ted Koppel,
10/4/2007,Jack Goldsmith,
10/8/2007,Vicente Fox,
10/9/2007,Tiki Barber,
10/10/2007,Lynne Cheney,
10/11/2007,Howard Kurtz,
10/15/2007,Tony Snow,
10/16/2007,Meryl Streep,
10/17/2007,Jake Gyllenhaal,
10/18/2007,Ben Affleck,
10/29/2007,Michael Gerson,
10/30/2007,Valerie Plame Wilson,
10/31/2007,David Wright,
11/1/2007,Jerry Seinfeld,
1/7/2008,Ronald Seeber,
1/8/2008,David Frum,
1/9/2008,John Zogby,
1/10/2008,Lou Dobbs,
1/14/2008,Fareed Zakaria,
1/15/2008,Amb. John Bolton,
1/16/2008,Jonah Goldberg,
1/17/2008,Allen Raymond,
1/21/2008,Jon Meacham,
1/22/2008,Jim Wallis,
1/23/2008,P.J. O'Rourke,
1/24/2008,Gerri Willis,
1/28/2008,Phil Simms,
1/29/2008,Doris Kearns Goodwin,
1/30/2008,Peggy Noonan,
1/31/2008,Karen Tumulty,
2/4/2008,Tim Gunn,
2/5/2008,Chris Wallace,
2/6/2008,Tom Brokaw,
2/7/2008,Laton McCartney,
2/11/2008,Philip Shenon,
2/12/2008,Bill Kristol,
2/13/2008,Mark Siegel,
2/14/2008,Lee Siegel,
2/26/2008,Madeleine Albright,
2/27/2008,Allen Guelzo,
2/28/2008,Brian Williams,
3/3/2008,Hillary Clinton,
3/4/2008,Ralph Nader,
3/5/2008,Martin Fletcher,
3/6/2008,Sen. Tom Daschle,
3/10/2008,Lt. Gen. William B. Caldwell,
3/11/2008,Grover Norquist,
3/12/2008,Ronald Kessler,
3/13/2008,Dana Perino,
3/17/2008,Brian Fagan,
3/18/2008,Jeffrey Sachs,
3/19/2008,Sen. Arlen Specter,
3/20/2008,Alex Kingsbury,
3/31/2008,Sen. Chuck Hagel,
4/1/2008,Simon LeVay,
4/2/2008,William Safire,
4/3/2008,George Clooney,
4/7/2008,Nathan Lane,
4/8/2008,Cokie Roberts,
4/9/2008,Steve Coll,
4/10/2008,Aram Roston,
4/14/2008,Judd Apatow,
4/15/2008,Jack Goldsmith,
4/16/2008,Peter Steinfels,
4/17/2008,Uma Thurman,
4/21/2008,Sen. Barack Obama,
4/22/2008,John Waters,
4/23/2008,Howard Fineman,
4/24/2008,Colin Firth,
4/28/2008,Jimmy Carter,
4/29/2008,Newt Gingrich,
4/30/2008,Robert Schlesinger,
5/1/2008,Howard Dean,
5/5/2008,Sen. Harry Reid,
5/6/2008,Fareed Zakaria,
5/7/2008,John McCain,
5/8/2008,David D. Perlmutter,
5/12/2008,Douglas J. Feith,
5/13/2008,Bill Moyers,
5/14/2008,John Harwood,
5/15/2008,Denis Leary,
5/27/2008,Matt Taibbi,
5/28/2008,Fred Burton,
5/29/2008,Richard Clark,
6/2/2008,Scott McClellan,
6/3/2008,David Sedaris,
6/4/2008,Barbara Walters,
6/5/2008,Adam Sandler,
6/9/2008,Sen. Jim Webb,
6/10/2008,Ralph Reed,
6/11/2008,Rick Shenkman,
6/12/2008,Richard Engel,
6/16/2008,David Iglesis,
6/17/2008,Lara Logan,
6/18/2008,Steve Carell,
6/19/2008,Mike Myers,
6/23/2008,James McAvoy,
6/24/2008,James Harding,
6/25/2008,Coldplay,
6/26/2008,Ted Koppel,
7/14/2008,Andrew Ward,
7/15/2008,Pierce Brosnan,
7/16/2008,Kenneth Pollack,
7/17/2008,Maggie Gyllenhaal,
7/21/2008,Richard Bitner,
7/22/2008,Will Ferrell & John C. Reilly,
7/23/2008,T.J. English,
7/24/2008,Geo Beach,
7/28/2008,Nancy Pelosi,
7/29/2008,Bill Bishop,
7/30/2008,Ben Wattenberg,
7/31/2008,Brian Williams,
8/4/2008,Dennis Hopper,
8/5/2008,Seth Rogan,
8/6/2008,Sen. Chuck Schumer,
8/7/2008,David Gregory,
8/11/2008,Ron Suskind,
8/12/2008,Sen. Mel Martinez,
8/13/2008,Philip Pan,
8/14/2008,Ben Stiller,
8/26/2008,Guess Who's Coming to Denver pt.1 (Gov. Tim Kaine),
8/27/2008,Guess Who's Coming to Denver pt.2 (Howard Dean),
8/28/2008,Evan Bayh,
8/29/2008,Barack Obamas Acceptance Speech,
9/2/2008,Brian Williams,
9/3/2008,Newt Gingrich,
9/4/2008,Mike Huckabee,
9/5/2008,Senator McCains Acceptance Speech,
9/15/2008,Barton Gellman,
9/16/2008,Ricky Gervais,
9/17/2008,Charlize Theron,
9/18/2008,Tony Blair,
9/23/2008,Bill Clinton,
9/24/2008,Aaron Eckhart,
9/25/2008,Bob Schieffer,
9/29/2008,Hooman Majd,
9/30/2008,Bill Maher,
10/1/2008,Peggy Noonan,
10/2/2008,Clint Eastwood,
10/6/2008,Tim Robbins,
10/7/2008,Sarah Vowell,
10/8/2008,Michelle Obama,
10/9/2008,Robert De Niro,
10/13/2008,Amity Shlaes,
10/14/2008,Ari Fleischer,
10/15/2008,Richard Lewis,
10/16/2008,Robert Reich,
10/20/2008,Eugene Jarecki,
10/21/2008,Christopher Buckley,
10/22/2008,Tom Brokaw,
10/23/2008,Gov. Jon Corzine,
10/27/2008,Campbell Brown,
10/28/2008,Steve Martin,
10/29/2008,Senator Barack Obama,
10/30/2008,Bill Kristol,
11/3/2008,Doris Kearns Goodwin,
11/4/2008,Indecision 2008: America's Choice,
11/5/2008,Chris Wallace,
11/6/2008,Paul Rudd,
11/11/2008,Thomas Friedman,
11/12/2008,T. Boone Pickens,
11/13/2008,Bill O'Reilly,
11/17/2008,Sir David Frost.,
11/18/2008,Denis Leary,
11/19/2008,Jon Meacham,
11/20/2008,Richard Belzer,
12/1/2008,Anne Hathaway,
12/2/2008,Calvin Trillin,
12/3/2008,Arianna Huffington,
12/4/2008,Ron Howard,
12/8/2008,Matthew Alexander,
12/9/2008,Mike Huckabee,
12/10/2008,Don Rickles,
12/11/2008,Philip Seymour Hoffman,
1/5/2009,David Gregory,
1/6/2009,Michael Wolff,
1/7/2009,Rachel Maddow,
1/8/2009,Dana Perino,
1/12/2009,Maxwell Kennedy,
1/13/2009,Daniel Craig,
1/14/2009,Fareed Zakaria,
1/15/2009,Bethany McLean,
1/19/2009,Abderrahim Foukara,
1/20/2009,Bishop Gene Robinson,
1/21/2009,David Sanger,
1/22/2009,Liam Neeson,
1/26/2009,President Jimmy Carter,
1/27/2009,Gwen Ifill,
1/28/2009,Neil DeGrasse Tyson,
1/29/2009,P.W. Singer,
2/2/2009,Lawrence Lindsey,
2/3/2009,Dev Patel,
2/4/2009,Karen Greenberg,
2/5/2009,Randall Balmer,
2/9/2009,Walter Isaacson,
2/10/2009,Thomas Ricks,
2/11/2009,Daniel Sperling,
2/12/2009,John Sununu,
2/23/2009,Jeff Bezos,
2/24/2009,Ricky Gervais,
2/25/2009,Tom Selleck,
2/26/2009,Brian Williams,
3/2/2009,Harold Varmus,
3/3/2009,Sandra Day O'Connor,
3/4/2009,Joe Nocera,
3/5/2009,Billy Crudup,
3/9/2009,Nathaniel Frank,
3/10/2009,Craig Mullaney,
3/11/2009,Paul Rudd,
3/12/2009,Jim Cramer,
3/12/2009,Jim Cramer Interview (Extended),
3/16/2009,Gen. Richard B. Myers,
3/17/2009,Ian McShane,
3/18/2009,Nandan Nilekani,
3/19/2009,Bruce Springsteen,
3/30/2009,Jack Cafferty,
3/31/2009,Seth Rogen,
4/1/2009,Peter Orszag,
4/2/2009,Tom Zoellner,
4/6/2009,Michael J. Fox,
4/7/2009,Jehan Sadat,
4/8/2009,Nancy Pelosi,
4/9/2009,William Cohan,
4/14/2009,Ron Darling,
4/15/2009,Elizabeth Warren,
4/16/2009,Ben Affleck,
4/20/2009,Reza Aslan,
4/21/2009,Ellen Johnson Sirleaf,
4/22/2009,Philip Alcabes,
4/23/2009,Richard Beeman,
4/27/2009,Christine Lagarde,
4/28/2009,Cliff May,
4/29/2009,Doris Kearns Goodwin,
4/30/2009,Hugh Jackman,
5/4/2009,Denis Leary,
5/5/2009,Fareed Zakaria,
5/6/2009,George Stephanopoulos,
5/7/2009,Ken Salazar,
5/11/2009,Frank Partnoy,
5/12/2009,Tom Hanks,
5/13/2009,Husain Haqqani,
5/14/2009,Lisa P. Jackson,
5/18/2009,Sarah Fisher,
5/19/2009,Newt Gingrich,
