date,guest,extra
3/7/2000,Kevin Pollak,
3/8/2000,Bob Dole,
3/9/2000,Garry Shandling,
3/13/2000,Eddie Izzard,
3/14/2000,Kim Delaney,
3/15/2000,Wolf Blitzer,
3/16/2000,Drew Carey,
3/20/2000,Chris Meloni,
3/21/2000,Marla Sokoloff,
3/22/2000,Eric Idle,
3/23/2000,Leelee Sobieski,
3/27/2000,John Lydon,
3/28/2000,Joshua Jackson,
3/29/2000,Sam Donaldson,
3/30/2000,Jimmy Smits,
4/10/2000,Roger Daltrey,
4/11/2000,Ben Stein,
4/12/2000,Patrick Stewart,
4/13/2000,David Alan Grier,
4/17/2000,Stanley Tucci,
4/18/2000,Samantha Mathis,
4/19/2000,Diamond Dallas Page,
4/20/2000,Arlen Specter,
4/24/2000,Hugh Hefner,
4/25/2000,Kirsten Dunst,
4/26/2000,Jeanne Tripplehorn,
4/27/2000,Stephen Baldwin,
5/1/2000,S. Epatha Merkerson,
5/2/2000,Luke Wilson,
5/3/2000,Julie Warner,
5/4/2000,Eric Close,
5/8/2000,Wendie Malick,
5/9/2000,Jesse L. Martin,
5/10/2000,Andy Richter,
5/11/2000,Betty White,
5/15/2000,Tracey Ullman,
5/16/2000,Kyle MacLachlan,
5/17/2000,Jane Leeves,
5/18/2000,Michael Rapaport,
5/30/2000,Laura Kightlinger,
5/31/2000,Thandie Newton,
6/1/2000,Sonja Christopher,
6/5/2000,Penn and Teller,
6/6/2000,Kelli Williams,
6/7/2000,Michael Moore,
6/12/2000,When the Elderly Go on TV with Al Greenwood,
6/13/2000,Mark Curry,
6/14/2000,Jimmy Kimmel & Adam Carolla,
6/15/2000,Julie Brown,
6/19/2000,Heather Donahue,
6/20/2000,Joe Lockhart,
6/21/2000,Freddie Prinze Jr.,
6/22/2000,Alicia Silverstone,
6/26/2000,Cheri Oteri,
6/27/2000,Jeff Probst,
6/28/2000,Richie Sambora,
6/29/2000,John C. Reilly,
7/10/2000,Anna Paquin,
7/11/2000,J.K. Simmons,
7/12/2000,Famke Janssen,
7/13/2000,Billy Crudup,
7/17/2000,Shawn & Marlon Wayans,
7/18/2000,Halle Berry,
7/19/2000,Fourth Anniversary Special,
7/20/2000,Al Roker,
7/24/2000,Peter Fonda,
7/25/2000,Joe Eszterhas,
7/26/2000,Jennifer Beals,
7/31/2000,Campaign Trail to the Road to the White House,
8/1/2000,Republican National Convention Pt. 1,
8/2/2000,Republican National Convention Pt. 2,
8/3/2000,Republican National Convention Pt. 3,
8/4/2000,Republican National Convention Pt. 4,
8/15/2000,Democratic National Convention Pt. 1,
8/16/2000,Democratic National Convention Pt. 2,
8/17/2000,Democratic National Convention Pt. 3,
8/18/2000,Democratic National Convention Pt. 4,
8/22/2000,Jeremy Piven,
8/23/2000,Slash,
8/24/2000,Vincent D'Onofrio,
9/5/2000,Donal Logue,
9/6/2000,Greg Kinnear,
9/7/2000,Spinal Tap,
9/11/2000,Joe Mantegna,
9/12/2000,Eugene Levy,
9/13/2000,Lennox Lewis,
9/14/2000,Senator Joe Lieberman,
9/18/2000,Ryan Phillippe,
9/19/2000,Jamie Lee Curtis,
9/20/2000,Barenaked Ladies,
9/21/2000,Jamie Foxx,
9/25/2000,Jonathan Katz,
9/26/2000,Bill Goldberg,
9/27/2000,Sylvester Stallone,
9/28/2000,Tony Danza,
10/2/2000,Dean Cain,
10/3/2000,Ashton Kutcher,
10/4/2000,Jewel,
10/5/2000,Ralph Nader,
10/16/2000,Alice Cooper,
10/17/2000,Christian Slater,
10/18/2000,Joshua Jackson,
10/19/2000,Brendan Fraser,
10/23/2000,Kevin James,
10/24/2000,Jeff Garlin,
10/25/2000,Posh Spice & Baby Spice,
10/26/2000,Steven Weber,
10/30/2000,Brett Butler,
10/31/2000,David Frost,
11/1/2000,Phil Donahue,
11/2/2000,Michael Richards,
11/6/2000,Arlen Specter,
11/7/2000,Indecision 2000 Choose and Loose,
11/8/2000,Richard Belzer,
11/9/2000,Michael Moore,
11/13/2000,Adam Sandler,
11/14/2000,Patricia Arquette,
11/15/2000,Adam Sandler,
11/16/2000,Rhys Ifans,
11/20/2000,Tales of Survival with Vance DeGeneres,
11/27/2000,John Goodman,
11/28/2000,Laura San Giacomo,
11/29/2000,Billy Campbell,
11/30/2000,Anthony Clark,
12/4/2000,Thomas Gibson,
12/5/2000,Faith Ford,
12/6/2000,Chris O'Donnell,
12/7/2000,Marlan Wayans,
12/11/2000,Ira Glass,
12/12/2000,Greta Van Susteren,
12/13/2000,Indecision 2000 Special,
12/14/2000,Wolf Blitzer,
12/18/2000,Marla Sokoloff,
12/19/2000,Marisa Tomei,
12/20/2000,Jeri Ryan,
12/21/2000,Gillian Anderson,
1/9/2001,Richard Lewis,
1/10/2001,Vitamin C,
1/11/2001,Julia Stiles,
1/15/2001,William Dafoe,
1/16/2001,Tim Robbins,
1/17/2001,Sam Donaldson,
1/18/2001,Lynn Whitfield,
1/22/2001,Bill O'Reilly,
1/23/2001,Matthew McConaughey,
1/24/2001,Terry Bradshaw,
1/25/2001,Topher Grace,
1/29/2001,David Boreanaz,
1/30/2001,Dyan Cannon,
1/31/2001,James van der Beek,
2/1/2001,Tim Blake Nelson,
2/12/2001,Dave Grohl,
2/13/2001,Kermit the Frog,
2/14/2001,Jessica Alba,
2/15/2001,Wanda Sykes,
2/20/2001,Greg Germann,
2/21/2001,Chris Rock,
2/22/2001,Kelly Ripa,
2/26/2001,Ted Danson,
2/27/2001,Joe Pantoliano,
2/28/2001,Heather Locklear,
3/1/2001,Warren Christopher,
3/5/2001,Martin Short,
3/6/2001,Ed Burns,
3/7/2001,Carmen Electra,
3/8/2001,Javier Bardem,
3/19/2001,Chris Meloni,
3/20/2001,Mary Stuart Masterson,
3/21/2001,Jeff Varner,
3/22/2001,Denis Leary,
3/26/2001,Richard Roeper,
3/27/2001,Richard Lewis,
3/28/2001,Mark Harmon,
3/29/2001,Jennifer Love Hewitt,
4/2/2001,Lisa Ling,
4/3/2001,Amy Sedaris,
4/4/2001,D.L. Hughley,
4/5/2001,Steven Weber,
4/9/2001,Paul Reubens,
4/10/2001,Bob Costas,
4/11/2001,Damon Wayans,
4/12/2001,Brittany Daniel,
4/23/2001,Don Hewitt,
4/24/2001,Rachael Leigh Cook,
4/25/2001,Tom Green,
4/26/2001,Tom Cavanagh,
4/30/2001,Eric McCormack,
5/1/2001,Dominic Chianese,
5/2/2001,No Guest,
5/3/2001,Robert Patrick,
5/7/2001,Chris Robinson,
5/8/2001,James Van Der Beek,
5/9/2001,Richie Sambora,
5/10/2001,Patricia Richardson,
5/14/2001,Maura Tierney,
5/15/2001,Denise Quiñones,
5/16/2001,Heath Ledger,
5/17/2001,Jerry Springer,
5/29/2001,Richard Schiff,
5/30/2001,Bradley Whitford,
5/31/2001,Leah Remini,
6/4/2001,Jake Johannsen,
6/5/2001,Richard Belzer,
6/6/2001,Al Roker,
6/7/2001,Bernie Mac,
6/11/2001,Joe Queenan,
6/12/2001,Gene Simmons,
6/13/2001,David Duchovny,
6/14/2001,Jeff Greenfield,
6/18/2001,Martin Short,
6/19/2001,Michael Rapaport,
6/20/2001,Alec Baldwin,
6/21/2001,Mýa,
6/25/2001,Sam Robards,
6/26/2001,Johnny Knoxville,
6/27/2001,Jet Li,
6/28/2001,Bridget Fonda,
7/9/2001,Sean Hayes,
7/10/2001,The Spice Girls,
7/11/2001,James Woods,
7/12/2001,Vince Vaughn,
7/16/2001,Jon Favreau,
7/17/2001,Maria Bartiromo,
7/18/2001,Ed Norton,
7/19/2001,Hank Azaria,
7/23/2001,Larry Miller,
7/24/2001,Paul Giametti,
7/25/2001,Senator Joe Lieberman,
7/26/2001,Senator John McCain,
7/30/2001,Jerri Manthey,
7/31/2001,Peter Krause,
8/1/2001,Jackie Chan,
8/2/2001,Janeane Garofalo,
8/6/2001,Andie MacDowell,
8/7/2001,Joe Rogan,
8/8/2001,Tara Reid,
8/9/2001,Jason Biggs,
8/13/2001,David Rakoff,
8/14/2001,John Carpenter,
8/15/2001,Seth Green,
8/16/2001,Fabio,
8/20/2001,Cuba Gooding Jr.,
8/21/2001,Griffin Dunne,
8/22/2001,Will Ferrell,
8/23/2001,Kevin Smith,
9/10/2001,They Might Be Giants,
9/11/2001,Dave Navarro,sept11
9/20/2001,The Comeback Episode,
9/24/2001,Frank Rich,
9/25/2001,Aaron Brown,
9/26/2001,Jeff Greenfield,
9/27/2001,Tenacious D,
10/1/2001,Kelsey Grammer,
10/2/2001,Jim Belushi,
10/3/2001,Stephen Morse,
10/4/2001,Kate Beckinsale,
10/9/2001,Owen Wilson,
10/10/2001,Jeremy Piven,
10/11/2001,John Miller,
10/15/2001,Emeril Lagasse,
10/16/2001,Lorraine Bracco,
10/17/2001,Snoop Dogg,
10/18/2001,Fareed Zakaria,
10/22/2001,Lance Bass,
10/23/2001,Don Dahler,
10/24/2001,Greta Van Susteren,
10/25/2001,Jeff Bridges,
10/30/2001,Rob Morrow,
10/31/2001,Richard Holbrooke,
11/1/2001,Kevin Spacey,
11/5/2001,Paul Rudd,
11/6/2001,P.J. O'Rourke,
11/7/2001,George Stephanopoulos,
11/8/2001,Jennifer Saunders,
11/12/2001,Steve Kroft,
11/13/2001,Anne Robinson,
11/14/2001,Carson Daly,
11/15/2001,John Stamos,
11/26/2001,Edward Burns,
11/27/2001,Star Jones,
11/28/2001,Jennifer Garner,
11/29/2001,David Halberstam,
12/3/2001,Nadine Strossen,
12/4/2001,John Edward,
12/5/2001,Marg Helgenberger,
12/6/2001,Ted Danson,
12/10/2001,Stephen Colbert as Al Sharpton,
12/11/2001,Dave Gorman,
12/12/2001,Janeane Garofalo,
12/13/2001,Tracey Ullman,
12/17/2001,Elijah Wood,
12/18/2001,Peggy Noonan,
12/19/2001,Gary Sinise,
12/20/2001,Jamie Foxx,
1/8/2002,Anjelica Houston,
1/9/2002,Luke Wilson,
1/10/2002,Jack Black,
1/14/2002,Leslie Stahl,
1/15/2002,Ian McKellan,
1/16/2002,Colin Hanks,
1/17/2002,Jeremy Northam,
1/21/2002,Al Sharpton,
1/22/2002,Anthony LaPaglia,
1/23/2002,Harold Ramis,
1/24/2002,Sebastian Junger,
1/28/2002,Ron Insana,
1/29/2002,Elmore Leonard,
1/30/2002,John King,
1/31/2002,Jason Schwartzman,
2/4/2002,Ron Howard,
2/5/2002,Greta Van Susteren,
2/6/2002,LL Cool J,
2/7/2002,Barry Manilow,
2/11/2002,Scott Bakula,
2/12/2002,John Stossel,
2/13/2002,Ralph Nader,
2/14/2002,Rebecca Romijn,
2/19/2002,Jeri Ryan,
2/20/2002,Bethany McLean,
2/21/2002,Michael Moore,
3/4/2002,David Remnick,
3/5/2002,Richard Lewis,
3/6/2002,Milla Jovovich,
3/7/2002,Tom Arnold,
3/11/2002,Bea Arthur,
3/12/2002,Denis Leary,
3/13/2002,Joe Klein,
3/14/2002,Bill O'Reilly,
3/18/2002,Andy Richter,
3/19/2002,John McCain,
3/20/2002,John Leguizamo,
3/21/2002,Aidan Quinn,
4/1/2002,Paula Zahn,
4/2/2002,David Brock,
4/3/2002,Jon Favreau,
4/4/2002,Ashley Judd,
4/8/2002,Tony Danza,
4/9/2002,Judy Woodruff,
4/10/2002,Patricia Arquette,
4/11/2002,The Goo Goo Dolls,
4/15/2002,Samuel L. Jackson,
4/16/2002,Lisa Beyer,
4/17/2002,Tara Reid,
4/18/2002,Richard Dreyfuss,
4/22/2002,Michael Clarke Duncan,
4/23/2002,Beau Bridges,
4/24/2002,Elvis Costello,
4/25/2002,H.W. Crocker III,
4/29/2002,Susan Caskie,
4/30/2002,Alanis Morrissette,
